id,date,rxl,cid,lac,rnc
27827,1259994568606,-93,16537,27,0
27828,1259994568946,-93,16537,27,0
27829,1259994569277,-93,16537,27,0
27830,1259994569617,-93,16537,27,0
27831,1259994569947,-93,16537,27,0
27832,1259994570286,-93,16537,27,0
27833,1259994570616,-93,16537,27,0
27834,1259994570956,-93,16537,27,0
27835,1259994571286,-93,16537,27,0
27836,1259994571626,-93,16537,27,0
27837,1259994571956,-93,16537,27,0
27838,1259994572297,-93,16537,27,0
27839,1259994572637,-93,16537,27,0
27840,1259994572967,-93,16537,27,0
27841,1259994573297,-93,16537,27,0
27842,1259994573637,-93,16537,27,0
27843,1259994573966,-93,16537,27,0
27844,1259994574306,-93,16537,27,0
27845,1259994574636,-93,16537,27,0
27846,1259994574976,-93,16537,27,0
27847,1259994575306,-93,16537,27,0
27848,1259994575646,-93,16537,27,0
27849,1259994575976,-93,16537,27,0
27850,1259994576317,-93,16537,27,0
27851,1259994576646,-93,16537,27,0
27852,1259994576986,-93,16537,27,0
27853,1259994577317,-93,16537,27,0
27854,1259994577659,-93,16537,27,0
27855,1259994577986,-93,16537,27,0
27856,1259994578327,-93,16537,27,0
27857,1259994578658,-93,16537,27,0
27858,1259994578996,-93,16537,27,0
27859,1259994579326,-93,16537,27,0
27860,1259994579668,-93,16537,27,0
27861,1259994579997,-93,16537,27,0
27862,1259994580337,-93,16537,27,0
27863,1259994580718,-93,16537,27,0
27864,1259994581006,-93,16537,27,0
27865,1259994581336,-93,16537,27,0
27866,1259994581720,-93,16537,27,0
27867,1259994582006,-93,16537,27,0
27868,1259994582347,-93,16537,27,0
27869,1259994582722,-93,16537,27,0
27870,1259994583016,-93,16537,27,0
27871,1259994583346,-93,16537,27,0
27872,1259994583754,-93,16537,27,0
27873,1259994584016,-93,16537,27,0
27874,1259994584357,-93,16537,27,0
27875,1259994584711,-93,16537,27,0
27876,1259994585026,-93,16537,27,0
27877,1259994585356,-93,16537,27,0
27878,1259994585697,-93,16537,27,0
27879,1259994586026,-93,16537,27,0
27880,1259994586366,-93,16537,27,0
27881,1259994586696,-93,16537,27,0
27882,1259994587027,-93,16537,27,0
27883,1259994587366,-93,16537,27,0
27884,1259994587701,-93,16537,27,0
27885,1259994588037,-93,16537,27,0
27886,1259994588366,-93,16537,27,0
27887,1259994588707,-93,16537,27,0
27888,1259994589037,-93,16537,27,0
27889,1259994589369,-93,16537,27,0
27890,1259994589708,-93,16537,27,0
